================ Training Loss (Mon Apr 25 21:57:22 2022) ================
(epoch: 227, iters: 80, time: 0.100, data: 0.432) G_GAN: 0.248 D_real: 0.261 D_fake: 0.236 G: 1.243 NCE: 0.972 NCE_Y: 1.017 
(epoch: 229, iters: 40, time: 0.100, data: 0.004) G_GAN: 0.269 D_real: 0.248 D_fake: 0.224 G: 1.342 NCE: 1.189 NCE_Y: 0.959 
(epoch: 230, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.278 D_real: 0.235 D_fake: 0.241 G: 1.391 NCE: 1.088 NCE_Y: 1.138 
(epoch: 232, iters: 80, time: 0.100, data: 0.453) G_GAN: 0.275 D_real: 0.251 D_fake: 0.225 G: 1.284 NCE: 0.979 NCE_Y: 1.040 
(epoch: 234, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.301 D_real: 0.208 D_fake: 0.257 G: 1.334 NCE: 1.135 NCE_Y: 0.931 
(epoch: 235, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.336 D_real: 0.208 D_fake: 0.255 G: 1.325 NCE: 1.053 NCE_Y: 0.926 
(epoch: 237, iters: 80, time: 0.100, data: 0.479) G_GAN: 0.284 D_real: 0.223 D_fake: 0.232 G: 1.336 NCE: 1.103 NCE_Y: 1.001 
(epoch: 239, iters: 40, time: 0.100, data: 0.003) G_GAN: 0.355 D_real: 0.253 D_fake: 0.185 G: 1.443 NCE: 0.992 NCE_Y: 1.182 
(epoch: 240, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.282 D_real: 0.232 D_fake: 0.243 G: 1.348 NCE: 1.087 NCE_Y: 1.046 
(epoch: 242, iters: 80, time: 0.100, data: 0.454) G_GAN: 0.343 D_real: 0.233 D_fake: 0.296 G: 1.347 NCE: 0.980 NCE_Y: 1.028 
(epoch: 244, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.312 D_real: 0.203 D_fake: 0.264 G: 1.339 NCE: 1.019 NCE_Y: 1.035 
(epoch: 245, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.294 D_real: 0.283 D_fake: 0.208 G: 1.340 NCE: 1.086 NCE_Y: 1.007 
(epoch: 247, iters: 80, time: 0.100, data: 0.451) G_GAN: 0.296 D_real: 0.250 D_fake: 0.211 G: 1.216 NCE: 0.926 NCE_Y: 0.914 
(epoch: 249, iters: 40, time: 0.100, data: 0.003) G_GAN: 0.247 D_real: 0.225 D_fake: 0.233 G: 1.218 NCE: 0.963 NCE_Y: 0.981 
(epoch: 250, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.293 D_real: 0.202 D_fake: 0.285 G: 1.236 NCE: 0.965 NCE_Y: 0.920 
(epoch: 252, iters: 80, time: 0.100, data: 0.457) G_GAN: 0.291 D_real: 0.250 D_fake: 0.177 G: 1.264 NCE: 1.020 NCE_Y: 0.927 
(epoch: 254, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.303 D_real: 0.259 D_fake: 0.188 G: 1.213 NCE: 0.882 NCE_Y: 0.937 
(epoch: 255, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.305 D_real: 0.248 D_fake: 0.194 G: 1.210 NCE: 0.915 NCE_Y: 0.895 
(epoch: 257, iters: 80, time: 0.100, data: 0.468) G_GAN: 0.280 D_real: 0.225 D_fake: 0.228 G: 1.167 NCE: 0.883 NCE_Y: 0.891 
(epoch: 259, iters: 40, time: 0.100, data: 0.003) G_GAN: 0.349 D_real: 0.177 D_fake: 0.222 G: 1.289 NCE: 0.908 NCE_Y: 0.973 
(epoch: 260, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.320 D_real: 0.212 D_fake: 0.257 G: 1.252 NCE: 0.972 NCE_Y: 0.892 
(epoch: 262, iters: 80, time: 0.100, data: 0.450) G_GAN: 0.301 D_real: 0.237 D_fake: 0.248 G: 1.229 NCE: 0.905 NCE_Y: 0.950 
(epoch: 264, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.300 D_real: 0.187 D_fake: 0.207 G: 1.265 NCE: 1.051 NCE_Y: 0.878 
